game_date,pitch_type,speed,result,p_name,p_type,b_name,b_type,catcher,inn,pitches,balls,strikes,out,x,y
2019-04-10,fa,134,파울,박진우,우언,최원준,좌타,양의지,1말,1,0,1,0,81,72
2019-04-10,fa,134,볼,박진우,우언,최원준,좌타,양의지,1말,2,1,1,0,14,105
2019-04-10,ch,118,포스,박진우,우언,최원준,좌타,양의지,1말,3,1,1,1,96,100
2019-04-10,sl,124,루킹,박진우,우언,류승현,좌타,양의지,1말,4,0,1,1,66,145
2019-04-10,fa,136,볼,박진우,우언,류승현,좌타,양의지,1말,5,1,1,1,137,46
2019-04-10,fa,135,볼,박진우,우언,류승현,좌타,양의지,1말,6,2,1,1,134,65
2019-04-10,fa,134,헛스윙,박진우,우언,류승현,좌타,양의지,1말,7,2,2,1,98,116
2019-04-10,fa,135,파울,박진우,우언,류승현,좌타,양의지,1말,8,2,2,1,94,72
2019-04-10,ch,122,파울,박진우,우언,류승현,좌타,양의지,1말,9,2,2,1,29,169
2019-04-10,sl,121,사구,박진우,우언,류승현,좌타,양의지,1말,10,2,2,1,8,125
2019-04-10,sl,122,루킹,박진우,우언,안치홍,우타,양의지,1말,11,0,1,1,36,100
2019-04-10,sl,120,아웃,박진우,우언,안치홍,우타,양의지,1말,12,0,1,2,33,124
2019-04-10,ch,120,볼,박진우,우언,최형우,좌타,양의지,1말,13,1,0,2,139,137
2019-04-10,sl,122,루킹,박진우,우언,최형우,좌타,양의지,1말,14,1,1,2,99,97
2019-04-10,ch,120,포스,박진우,우언,최형우,좌타,양의지,1말,15,1,1,2,129,134
2019-04-10,fa,133,루킹,박진우,우언,이명기,좌타,양의지,2말,16,0,1,0,91,123
2019-04-10,sl,120,루킹,박진우,우언,이명기,좌타,양의지,2말,17,0,2,0,107,134
2019-04-10,ch,122,파울,박진우,우언,이명기,좌타,양의지,2말,18,0,2,0,85,176
2019-04-10,fa,134,볼,박진우,우언,이명기,좌타,양의지,2말,19,1,2,0,99,23
